Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 60.36828
1.2809E-5 ; 53.34106
1.5618E-5 ; 48.30577
1.8427E-5 ; 44.47187
2.1236E-5 ; 41.42689
2.6853E-5 ; 36.83982
3.2471E-5 ; 33.50159
3.8089E-5 ; 30.93223
4.3706E-5 ; 28.87615
4.9324E-5 ; 27.18163
5.4942E-5 ; 25.7545
6.6177E-5 ; 23.46685
7.7413E-5 ; 21.6973
8.8648E-5 ; 20.27607
9.9884E-5 ; 19.10136
1.2236E-4 ; 17.25939
1.4483E-4 ; 15.86393
1.673E-4 ; 14.76008
1.8977E-4 ; 13.85702
2.3471E-4 ; 12.46073
2.7965E-4 ; 11.41605
3.2459E-4 ; 10.59619
3.6954E-4 ; 9.930575
4.5942E-4 ; 8.906696
5.493E-4 ; 8.145159
6.3919E-4 ; 7.550827
7.2907E-4 ; 7.070044
9.0884E-4 ; 6.332326
0.0010886 ; 5.785898
0.0012684 ; 5.360264
0.0014481 ; 5.016614
0.0018077 ; 4.490004
0.0021672 ; 4.100698
0.0025267 ; 3.797697
0.0028863 ; 3.553263
0.0036053 ; 3.179283
0.0043244 ; 2.902867
0.0050435 ; 2.688003
0.0057626 ; 2.514722
0.0072007 ; 2.249457
0.0086388 ; 2.053683
0.010077 ; 1.901553
0.011515 ; 1.778755
0.014391 ; 1.591139
0.017268 ; 1.452599
0.020144 ; 1.344881
0.02302 ; 1.257987
0.0253 ; 1.2
0.028773 ; 1.125191
0.034525 ; 1.027137
0.040278 ; 0.9509848
0.046031 ; 0.8895036
0.057536 ; 0.7955629
0.069041 ; 0.7261989
0.080546 ; 0.6722883
0.092051 ; 0.6288257
0.11506 ; 0.5623524
0.13807 ; 0.5132824
0.16108 ; 0.4751349
0.18409 ; 0.4443848
0.23011 ; 0.3973401
0.27613 ; 0.3626248
0.32215 ; 0.3356066
0.36817 ; 0.3138544
0.46021 ; 0.2805393
0.55226 ; 0.2559372
0.6443 ; 0.236809
0.73634 ; 0.2213717
0.92042 ; 0.1977531
1.1045 ; 0.1803081
1.2886 ; 0.166729
1.4727 ; 0.1557821
1.8408 ; 0.1389866
2.209 ; 0.1265645
2.5772 ; 0.1168843
2.9453 ; 0.1090785
3.6817 ; 0.09709006
4.418 ; 0.08820055
5.1543 ; 0.08126578
5.8906 ; 0.07565234
7.3633 ; 0.06702478
8.836 ; 0.06060736
10.309 ; 0.05558714
11.781 ; 0.05151407
14.727 ; 0.04523411
17.672 ; 0.04055123
20.617 ; 0.03687892
23.563 ; 0.03389565
29.453 ; 0.02929352
32.398 ; 0.02746743
35.344 ; 0.02586782
41.234 ; 0.02319194
