Incident energy ; 
Incident energy ; 
Incident energy ; Computed function
321269.0 ; 0.0
350000.0 ; 1.86979E-21
390808.0 ; 4.52554E-21
391173.0 ; 4.54929E-21
391173.4 ; 4.54932E-21
400000.0 ; 5.12375E-21
421786.0 ; 6.54156E-21
421874.0 ; 6.54729E-21
421874.5 ; 6.54732E-21
434235.0 ; 7.35173E-21
434235.1 ; 7.35174E-21
443211.0 ; 7.93588E-21
443211.3 ; 7.9359E-21
450000.0 ; 8.3777E-21
451986.0 ; 8.50695E-21
451986.4 ; 8.50698E-21
457555.0 ; 8.86937E-21
457555.1 ; 8.86938E-21
497396.0 ; 1.14622E-20
500000.0 ; 1.16317E-20
510709.0 ; 1.23286E-20
527563.0 ; 1.34254E-20
527563.4 ; 1.34255E-20
541789.0 ; 1.43513E-20
547015.0 ; 1.46914E-20
547015.6 ; 1.46914E-20
550000.0 ; 1.48856E-20
550101.0 ; 1.48922E-20
550101.4 ; 1.48922E-20
555989.0 ; 1.52754E-20
565722.0 ; 1.59088E-20
593953.0 ; 1.7746E-20
593953.1 ; 1.7746E-20
600000.0 ; 1.81396E-20
609272.0 ; 1.8743E-20
615890.0 ; 1.91737E-20
615890.1 ; 1.91737E-20
633398.0 ; 2.03131E-20
633398.2 ; 2.03131E-20
635370.0 ; 2.04414E-20
635370.3 ; 2.04414E-20
650000.0 ; 2.13935E-20
667636.0 ; 2.25413E-20
667636.4 ; 2.25413E-20
670551.0 ; 2.2731E-20
670551.4 ; 2.2731E-20
681508.0 ; 2.3444E-20
698897.0 ; 2.45757E-20
698897.3 ; 2.45757E-20
700000.0 ; 2.46475E-20
717307.0 ; 2.57738E-20
735439.0 ; 2.69538E-20
743372.0 ; 2.74701E-20
743372.2 ; 2.74701E-20
750000.0 ; 2.79014E-20
752113.0 ; 2.8039E-20
769762.0 ; 2.91875E-20
797103.0 ; 3.09669E-20
800000.0 ; 3.11554E-20
823353.0 ; 3.26752E-20
850000.0 ; 3.44094E-20
863265.0 ; 3.52726E-20
900000.0 ; 3.76633E-20
950000.0 ; 4.09173E-20
1000000.0 ; 4.41712E-20
1100000.0 ; 5.06791E-20
1200000.0 ; 5.71871E-20
1300000.0 ; 6.3695E-20
1400000.0 ; 7.02029E-20
1500000.0 ; 7.67108E-20
1600000.0 ; 8.32187E-20
1700000.0 ; 2.81288E-18
1800000.0 ; 5.54254E-18
1900000.0 ; 8.19153E-17
2000000.0 ; 1.58288E-16
2100000.0 ; 1.70503E-15
2101210.0 ; 1.72375E-15
2200000.0 ; 3.25178E-15
2300000.0 ; 2.26142E-14
2400000.0 ; 4.19766E-14
2500000.0 ; 1.83941E-13
2600000.0 ; 3.25905E-13
2700000.0 ; 1.07668E-12
2800000.0 ; 1.82746E-12
2900000.0 ; 5.04367E-12
3000000.0 ; 8.25988E-12
3100000.0 ; 1.98152E-11
3144330.0 ; 2.49377E-11
3200000.0 ; 3.13706E-11
3223230.0 ; 3.96819E-11
3300000.0 ; 6.71488E-11
3400000.0 ; 1.02927E-10
3500000.0 ; 2.00432E-10
3600000.0 ; 2.97937E-10
3700000.0 ; 5.3606E-10
3800000.0 ; 7.74183E-10
3900000.0 ; 1.304517E-9
4000000.0 ; 1.83485E-9
4121930.0 ; 3.15954E-9
4140280.0 ; 3.358901E-9
4200000.0 ; 4.00772E-9
4400000.0 ; 8.30049E-9
4600000.0 ; 1.69642E-8
4606800.0 ; 1.74532E-8
4606802.0 ; 1.745335E-8
4674680.0 ; 2.233459E-8
4800000.0 ; 3.13466E-8
5000000.0 ; 5.37346E-8
5163030.0 ; 8.547369E-8
5200000.0 ; 9.26711E-8
