Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 2.29691E-10
1.2253E-5 ; 2.07496E-10
1.4506E-5 ; 1.90704E-10
1.6759E-5 ; 1.77423E-10
1.9012E-5 ; 1.66579E-10
2.3518E-5 ; 1.49774E-10
2.8024E-5 ; 1.37207E-10
3.253E-5 ; 1.27348E-10
3.7037E-5 ; 1.19347E-10
4.1543E-5 ; 1.12691E-10
4.6049E-5 ; 1.07038E-10
5.5061E-5 ; 9.78857E-11
6.4073E-5 ; 9.07405E-11
7.3085E-5 ; 8.49586E-11
8.2098E-5 ; 8.01608E-11
1.0012E-4 ; 7.25911E-11
1.1815E-4 ; 6.68221E-11
1.3617E-4 ; 6.22436E-11
1.542E-4 ; 5.84928E-11
1.9024E-4 ; 5.26602E-11
2.2629E-4 ; 4.82836E-11
2.6234E-4 ; 4.48441E-11
2.9839E-4 ; 4.20478E-11
3.7049E-4 ; 3.77355E-11
4.4259E-4 ; 3.4525E-11
5.1468E-4 ; 3.20161E-11
5.8678E-4 ; 2.99844E-11
7.3098E-4 ; 2.68646E-11
8.7517E-4 ; 2.45518E-11
0.0010194 ; 2.27491E-11
0.0011636 ; 2.12937E-11
0.001452 ; 1.90613E-11
0.0017404 ; 1.74104E-11
0.0020287 ; 1.61261E-11
0.0023171 ; 1.50887E-11
0.0028939 ; 1.35021E-11
0.0034707 ; 1.2329E-11
0.0040475 ; 1.14164E-11
0.0046243 ; 1.06806E-11
0.0057778 ; 9.55511E-12
0.0069314 ; 8.72418E-12
0.0080849 ; 8.07782E-12
0.0092385 ; 7.55624E-12
0.011546 ; 6.75939E-12
0.013853 ; 6.17079E-12
0.01616 ; 5.71326E-12
0.018467 ; 5.34442E-12
0.023081 ; 4.78032E-12
0.0253 ; 4.5659E-12
0.027695 ; 4.36389E-12
0.03231 ; 4.0402E-12
0.036924 ; 3.77928E-12
0.046153 ; 3.38021E-12
0.055381 ; 3.08565E-12
0.06461 ; 2.85663E-12
0.073838 ; 2.67205E-12
0.092295 ; 2.38978E-12
0.11075 ; 2.1814E-12
0.12921 ; 2.01939E-12
0.14767 ; 1.88883E-12
0.18458 ; 1.68914E-12
0.22149 ; 1.54173E-12
0.25841 ; 1.42706E-12
0.29532 ; 1.33471E-12
0.36915 ; 1.19341E-12
0.44298 ; 1.08903E-12
0.51681 ; 1.00793E-12
0.59063 ; 9.42456E-13
0.73829 ; 8.42383E-13
0.88595 ; 7.68487E-13
1.0336 ; 7.11054E-13
1.1813 ; 6.64684E-13
1.4766 ; 5.93733E-13
1.7719 ; 5.41317E-13
2.0672 ; 5.00549E-13
2.3625 ; 4.67658E-13
