Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
9409617.0 ; 0.0
9500000.0 ; 0.009708161
9551747.0 ; 0.03260174
9718480.0 ; 0.1063667
9880740.0 ; 0.1781527
1.0E7 ; 0.230915
1.00589E7 ; 0.2691839
1.005895E7 ; 0.2692163
1.015993E7 ; 0.3348257
1.05E7 ; 0.555778
1.1E7 ; 0.831697
1.15E7 ; 1.04296
1.2E7 ; 1.18585
1.2209E7 ; 1.227374
1.220902E7 ; 1.227378
1.25E7 ; 1.28519
1.3E7 ; 1.35259
1.33379E7 ; 1.380142
1.35E7 ; 1.39336
1.38881E7 ; 1.413425
1.388812E7 ; 1.413426
1.4E7 ; 1.41921
1.41772E7 ; 1.424781
1.417722E7 ; 1.424782
1.45E7 ; 1.43493
1.5E7 ; 1.44372
1.55E7 ; 1.44313
1.55843E7 ; 1.443031
1.6E7 ; 1.44254
1.61993E7 ; 1.440555
1.63319E7 ; 1.439234
1.64235E7 ; 1.438322
1.642353E7 ; 1.438322
1.65E7 ; 1.43756
1.67687E7 ; 1.434884
1.69211E7 ; 1.433366
1.7E7 ; 1.43258
1.70799E7 ; 1.429034
1.71031E7 ; 1.428004
1.710313E7 ; 1.428003
1.75E7 ; 1.41039
1.8E7 ; 1.3882
1.85E7 ; 1.325655
1.9E7 ; 1.26311
1.95E7 ; 1.173385
1.95591E7 ; 1.16278
1.955917E7 ; 1.162767
1.965661E7 ; 1.145281
2.0E7 ; 1.08366
2.02067E7 ; 1.052646
2.1E7 ; 0.9336155
2.2E7 ; 0.783571
2.245306E7 ; 0.7407969
2.3E7 ; 0.6891595
2.4E7 ; 0.594748
2.5E7 ; 0.5504195
2.6E7 ; 0.506091
2.69086E7 ; 0.4804489
2.7E7 ; 0.4778695
2.70096E7 ; 0.4775986
2.8E7 ; 0.449648
2.9E7 ; 0.4283925
3.0E7 ; 0.407137
