Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
8629837.0 ; 2.70023E-19
1.3E7 ; 1.32285E-17
1.35E7 ; 8.01758E-15
1.4E7 ; 1.41949E-13
1.45E7 ; 1.64059E-12
1.5E7 ; 1.36138E-11
1.6E7 ; 4.45953E-10
1.7E7 ; 7.13387E-9
1.8E7 ; 6.858931E-8
1.9E7 ; 4.49521E-7
2.0E7 ; 2.164E-6
2.1E7 ; 7.6366E-6
2.2E7 ; 2.23639E-5
2.3E7 ; 5.265401E-5
2.4E7 ; 1.0419E-4
2.5E7 ; 1.80801E-4
2.6E7 ; 2.84387E-4
2.7E7 ; 4.15105E-4
2.8E7 ; 5.70324E-4
2.9E7 ; 7.434341E-4
3.0E7 ; 9.072601E-4
3.2E7 ; 0.00118953
3.4E7 ; 0.00135494
3.6E7 ; 0.0013907
3.8E7 ; 0.00139465
4.0E7 ; 0.00135921
4.2E7 ; 0.00128918
4.4E7 ; 0.00119323
4.6E7 ; 0.0010856
4.8E7 ; 0.00103454
5.0E7 ; 9.48747E-4
5.2E7 ; 8.231351E-4
5.4E7 ; 8.082541E-4
5.6E7 ; 6.86262E-4
5.8E7 ; 6.72766E-4
6.0E7 ; 5.86362E-4
