Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 6.945912E-8
1.09736E-5 ; 6.630648E-8
1.19471E-5 ; 6.354766E-8
1.30049E-5 ; 6.090861E-8
1.42311E-5 ; 5.822554E-8
1.54574E-5 ; 5.586831E-8
1.68959E-5 ; 5.343718E-8
1.84406E-5 ; 5.115029E-8
1.99852E-5 ; 4.913402E-8
2.19309E-5 ; 4.690402E-8
2.38765E-5 ; 4.49525E-8
2.59905E-5 ; 4.308577E-8
2.84412E-5 ; 4.118779E-8
3.08919E-5 ; 3.952043E-8
3.37668E-5 ; 3.78008E-8
3.68538E-5 ; 3.618316E-8
3.99408E-5 ; 3.475703E-8
4.38292E-5 ; 3.317967E-8
4.77176E-5 ; 3.179923E-8
5.19425E-5 ; 3.047882E-8
5.68403E-5 ; 2.913631E-8
6.17381E-5 ; 2.79569E-8
6.74837E-5 ; 2.674055E-8
7.36531E-5 ; 2.559642E-8
7.98224E-5 ; 2.458759E-8
8.75935E-5 ; 2.347186E-8
9.53645E-5 ; 2.249556E-8
1.03808E-4 ; 2.15615E-8
1.13596E-4 ; 2.061203E-8
1.23385E-4 ; 1.977781E-8
1.34867E-4 ; 1.891755E-8
1.47197E-4 ; 1.810819E-8
1.59527E-4 ; 1.739473E-8
1.75057E-4 ; 1.660561E-8
1.90588E-4 ; 1.591504E-8
2.07462E-4 ; 1.525454E-8
2.27025E-4 ; 1.458294E-8
2.46587E-4 ; 1.399289E-8
2.69535E-4 ; 1.338447E-8
2.94176E-4 ; 1.281221E-8
3.18817E-4 ; 1.230755E-8
3.49855E-4 ; 1.174954E-8
3.80893E-4 ; 1.126119E-8
4.14617E-4 ; 1.079407E-8
4.53713E-4 ; 1.031918E-8
4.92809E-4 ; 9.901971E-9
5.38671E-4 ; 9.471743E-9
5.87916E-4 ; 9.067092E-9
6.37162E-4 ; 8.710313E-9
6.99192E-4 ; 8.315783E-9
7.61222E-4 ; 7.97053E-9
8.2862E-4 ; 7.64029E-9
9.06754E-4 ; 7.304598E-9
9.848881E-4 ; 7.009712E-9
0.00107655 ; 6.70558E-9
0.00117497 ; 6.419587E-9
0.00127338 ; 6.167493E-9
0.00139735 ; 5.888722E-9
0.00152132 ; 5.644784E-9
0.00165601 ; 5.411507E-9
0.00181216 ; 5.174388E-9
0.00196831 ; 4.966118E-9
0.00215149 ; 4.751343E-9
0.00234819 ; 4.5494E-9
0.00254487 ; 4.371414E-9
0.00279263 ; 4.17465E-9
0.00304038 ; 4.0025E-9
0.00330957 ; 3.837925E-9
0.00362165 ; 3.670688E-9
0.00393372 ; 3.523869E-9
0.0042998 ; 3.372815E-9
