Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 7068.97
1.09736E-5 ; 6748.12
1.19471E-5 ; 6467.35
1.30049E-5 ; 6198.77
1.42311E-5 ; 5925.71
1.54574E-5 ; 5685.81
1.68959E-5 ; 5438.39
1.84406E-5 ; 5205.65
1.99852E-5 ; 5000.45
2.19309E-5 ; 4773.5
2.38765E-5 ; 4574.89
2.59905E-5 ; 4384.91
2.84412E-5 ; 4191.75
3.08919E-5 ; 4022.06
3.37668E-5 ; 3847.05
3.68538E-5 ; 3682.42
3.99408E-5 ; 3537.28
4.38292E-5 ; 3376.75
4.77176E-5 ; 3236.26
5.19425E-5 ; 3101.88
5.68403E-5 ; 2965.25
6.17381E-5 ; 2845.22
6.74837E-5 ; 2721.43
7.36531E-5 ; 2604.99
7.98224E-5 ; 2502.32
8.75935E-5 ; 2388.77
9.53645E-5 ; 2289.41
1.03808E-4 ; 2194.35
1.13596E-4 ; 2097.72
1.23385E-4 ; 2012.82
1.34867E-4 ; 1925.27
1.47197E-4 ; 1842.9
1.59527E-4 ; 1770.29
1.75057E-4 ; 1689.98
1.90588E-4 ; 1619.7
2.07462E-4 ; 1552.48
2.27025E-4 ; 1484.13
2.46587E-4 ; 1424.08
2.69535E-4 ; 1362.16
2.94176E-4 ; 1303.92
3.18817E-4 ; 1252.56
3.49855E-4 ; 1195.77
3.80893E-4 ; 1146.07
4.14617E-4 ; 1098.53
4.53713E-4 ; 1050.2
4.92809E-4 ; 1007.74
5.38671E-4 ; 963.955
5.87916E-4 ; 922.773
6.37162E-4 ; 886.463
6.99192E-4 ; 846.311
7.61222E-4 ; 811.174
8.2862E-4 ; 777.565
9.06754E-4 ; 743.401
9.848881E-4 ; 713.39
0.00107655 ; 682.438
0.00117497 ; 653.332
0.00127338 ; 627.676
0.00139735 ; 599.305
0.00152132 ; 574.479
0.00165601 ; 550.738
0.00181216 ; 526.606
0.00196831 ; 505.4101
0.00215149 ; 483.552
0.00234819 ; 463.0
0.00254487 ; 444.886
0.00279263 ; 424.861
0.00304038 ; 407.341
0.00330957 ; 390.592
0.00362165 ; 373.572
0.00393372 ; 358.63
0.0042998 ; 343.257
0.00469289 ; 328.771
0.00508598 ; 316.007
0.00558113 ; 301.9
0.00607626 ; 289.566
0.00661425 ; 277.778
0.00723793 ; 265.806
0.00786161 ; 255.3
0.00859324 ; 244.476
0.00937884 ; 234.306
0.01016443 ; 225.349
0.01115397 ; 215.457
0.01214352 ; 206.815
0.0132187 ; 198.566
0.01446514 ; 190.201
0.01571158 ; 182.87
0.01717374 ; 175.327
0.01874378 ; 168.248
0.02031381 ; 162.0211
