Incident energy ; 
Incident energy ; 
Incident energy ; Computed function
3159430.0 ; 0.0
6400000.0 ; 4.6128E-17
6600000.0 ; 1.5208E-15
6800000.0 ; 1.0272E-14
7000000.0 ; 5.9571E-14
7200000.0 ; 3.4569E-13
7400000.0 ; 4.188E-12
7600000.0 ; 1.7626E-11
7800000.0 ; 4.6539E-11
8000000.0 ; 2.0099E-10
8500000.0 ; 3.6426E-9
9000000.0 ; 3.23387E-8
9500000.0 ; 2.28005E-7
1.0E7 ; 6.20245E-7
1.05E7 ; 2.36247E-6
1.1E7 ; 6.9731E-6
1.15E7 ; 2.74405E-5
1.2E7 ; 5.73797E-5
1.25E7 ; 1.68933E-4
1.3E7 ; 3.84284E-4
1.35E7 ; 7.32821E-4
1.4E7 ; 0.00167625
1.45E7 ; 0.00295013
1.5E7 ; 0.00462929
1.6E7 ; 0.0110112
1.7E7 ; 0.0189981
1.8E7 ; 0.0288196
1.9E7 ; 0.0387709
2.0E7 ; 0.0492993
2.1E7 ; 0.0586265
2.2E7 ; 0.0686982
2.3E7 ; 0.077951
2.4E7 ; 0.0859743
2.5E7 ; 0.0891685
2.6E7 ; 0.08913071
2.7E7 ; 0.0815273
2.8E7 ; 0.0752203
2.9E7 ; 0.06368
3.0E7 ; 0.055692554331180005
3.2E7 ; 0.040380744934159996
3.4E7 ; 0.029974716918639996
3.6E7 ; 0.023327068701600003
3.8E7 ; 0.01857876761808
4.0E7 ; 0.015922668894
4.2E7 ; 0.014098626379720001
4.4E7 ; 0.013577382280000001
4.6E7 ; 0.01382563775118
4.8E7 ; 0.014691318956599999
5.0E7 ; 0.01635969806622
5.2E7 ; 0.01819438754208
5.4E7 ; 0.01995567021816
5.6E7 ; 0.0215873362745
5.8E7 ; 0.022706911664400004
6.0E7 ; 0.0225728990658
6.5E7 ; 0.0212231932088
7.0E7 ; 0.01800167910228
7.5E7 ; 0.015904652988800002
8.0E7 ; 0.01411345931608
9.0E7 ; 0.012304993982249999
1.0E8 ; 0.01065334668651
1.1E8 ; 0.00911100804274
1.2E8 ; 0.00828370521264
1.3E8 ; 0.007550954282110001
1.4E8 ; 0.006937785879705999
1.5E8 ; 0.006654692435125001
1.6E8 ; 0.006055390418348
1.8E8 ; 0.005276103826154999
2.0E8 ; 0.004318000615022
