Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
1.0E-5 ; 6.56802E-21
0.0253 ; 6.56802E-21
1.0 ; 6.56802E-21
3.2 ; 6.56802E-21
16.0 ; 6.56802E-21
1000.0 ; 6.56802E-21
2000.0 ; 6.56802E-21
5000.0 ; 6.56802E-21
10000.0 ; 6.56802E-21
20000.0 ; 6.56802E-21
50000.0 ; 6.56802E-21
100000.0 ; 6.56802E-21
200000.0 ; 6.56802E-21
300000.0 ; 6.56802E-21
400000.0 ; 8.8979E-18
500000.0 ; 3.62536E-16
600000.0 ; 1.18532E-14
700000.0 ; 1.51974E-13
800000.0 ; 1.41712E-12
900000.0 ; 9.79364E-12
1000000.0 ; 5.20826E-11
1200000.0 ; 8.75642E-10
1400000.0 ; 7.916766E-9
1600000.0 ; 4.580197E-8
1800000.0 ; 1.961579E-7
2000000.0 ; 1.066693E-6
2200000.0 ; 3.220085E-6
2400000.0 ; 8.042937E-6
2600000.0 ; 1.702103E-5
2800000.0 ; 3.242527E-5
3000000.0 ; 5.700643E-5
3200000.0 ; 9.377953E-5
3400000.0 ; 1.458193E-4
3600000.0 ; 2.161122E-4
3800000.0 ; 3.071017E-4
4000000.0 ; 4.932361E-4
4200000.0 ; 7.556378E-4
4400000.0 ; 0.001069767
4600000.0 ; 0.00138781
4800000.0 ; 0.001696251
5000000.0 ; 0.002006531
5200000.0 ; 0.002336712
5400000.0 ; 0.002639386
5600000.0 ; 0.002936405
5800000.0 ; 0.003227441
6000000.0 ; 0.003489597
6200000.0 ; 0.00379277
6400000.0 ; 0.003988182
6600000.0 ; 0.004219975
6800000.0 ; 0.004434466
7000000.0 ; 0.004601688
7200000.0 ; 0.004878333
7400000.0 ; 0.005020025
7600000.0 ; 0.005244606
7800000.0 ; 0.005516266
8000000.0 ; 0.005715539
8500000.0 ; 0.006440997
9000000.0 ; 0.007344231
9500000.0 ; 0.008444835
1.0E7 ; 0.00974215
1.05E7 ; 0.0111929
1.1E7 ; 0.01269211
1.15E7 ; 0.01414857
1.2E7 ; 0.01557252
1.25E7 ; 0.01689558
1.3E7 ; 0.01814902
1.35E7 ; 0.01928949
1.4E7 ; 0.02034438
1.45E7 ; 0.021302
1.5E7 ; 0.02213673
1.6E7 ; 0.02353119
1.7E7 ; 0.02466824
1.8E7 ; 0.02535047
1.9E7 ; 0.02575952
2.0E7 ; 0.02585528
2.1E7 ; 0.02614644
2.2E7 ; 0.02566389
2.3E7 ; 0.02528143
2.4E7 ; 0.02482253
2.5E7 ; 0.0241166
2.6E7 ; 0.02324062
2.7E7 ; 0.02250743
2.8E7 ; 0.02173608
2.9E7 ; 0.02082286
3.0E7 ; 0.02023043
3.2E7 ; 0.01869101
3.4E7 ; 0.01689111
3.6E7 ; 0.01510448
3.8E7 ; 0.01401439
4.0E7 ; 0.01260745
4.2E7 ; 0.0113923
4.4E7 ; 0.01059245
4.6E7 ; 0.009440218
4.8E7 ; 0.008682071
5.0E7 ; 0.008065991
5.2E7 ; 0.007100557
5.4E7 ; 0.006695179
5.6E7 ; 0.006235253
5.8E7 ; 0.005463819
6.0E7 ; 0.00516171
