Incident energy ; 
Incident energy ; 
Incident energy ; σ(E)
7019200.0 ; 9.650399E-6
9000000.0 ; 1.902211E-5
1.0E7 ; 3.668766E-5
1.1E7 ; 7.053567E-5
1.2E7 ; 1.34797E-4
1.3E7 ; 2.546966E-4
1.4E7 ; 4.713206E-4
1.5E7 ; 8.408626E-4
1.51719E7 ; 9.11567E-4
1.53349E7 ; 9.832415E-4
1.54892E7 ; 0.001055548
1.57043E7 ; 0.001163891
1.59043E7 ; 0.001273058
1.6086E7 ; 0.001379789
1.62546E7 ; 0.001485575
1.64632E7 ; 0.001626018
1.66479E7 ; 0.001759762
1.68112E7 ; 0.001885763
1.70231E7 ; 0.002060787
1.72472E7 ; 0.00226089
1.74324E7 ; 0.002438622
1.7633E7 ; 0.002644585
1.78156E7 ; 0.002844779
1.82386E7 ; 0.003337109
1.845E7 ; 0.003599929
1.87194E7 ; 0.003960122
1.89479E7 ; 0.004289132
1.92056E7 ; 0.004687807
1.94751E7 ; 0.005137785
1.97733E7 ; 0.005678082
2.0E7 ; 0.006120272
2.1E7 ; 0.007503076
2.2E7 ; 0.008698993
2.3E7 ; 0.009600398
2.4E7 ; 0.01017617
2.5E7 ; 0.01051127
2.6E7 ; 0.01061702
2.7E7 ; 0.01054805
2.8E7 ; 0.01045725
2.9E7 ; 0.01020491
3.0E7 ; 0.009906723
3.2E7 ; 0.009212991
3.4E7 ; 0.008378966
3.6E7 ; 0.007604066
3.8E7 ; 0.006866101
4.0E7 ; 0.006210002
4.2E7 ; 0.005558757
4.4E7 ; 0.004912544
4.6E7 ; 0.004419392
4.8E7 ; 0.003892224
5.0E7 ; 0.003516989
5.2E7 ; 0.003110703
5.4E7 ; 0.002830835
5.6E7 ; 0.002489759
5.8E7 ; 0.002268698
6.0E7 ; 0.002036983
